204845;-98317;53762;30719;8
227681;-98421;55190;30712;8
210260;-98415;54101;30713;4
205148;-98334;53781;30718;1
221714;-98400;54817;30714;8
213418;-98396;54298;30714;1
212978;-98417;54271;30712;2
208047;-98401;53962;30713;2
197602;-98376;53310;30715;2
207035;-98314;53899;30719;4
214106;-98373;54341;30715;8
217809;-98395;54573;30714;4
216948;-98356;54519;30716;1
199699;-98359;53441;30716;1
197920;-98352;53330;30717;1
217079;-98319;54527;30719;8
196911;-98403;53266;30713;4
224645;-98321;55000;30718;8
197935;-98419;53330;30712;4
218770;-98428;54633;30712;4
204020;-98405;53711;30713;8
228019;-98330;55211;30718;2
215923;-98357;54455;30716;1
222720;-98429;54880;30712;1
208920;-98366;54017;30716;2
216418;-98336;54486;30718;4
205200;-98375;53785;30715;8
226004;-98361;55085;30716;4
208413;-98327;53985;30718;4
215893;-98393;54453;30714;1
203314;-98419;53667;30712;2
206234;-98395;53849;30714;8
215578;-98332;54433;30718;4
209563;-98316;54057;30719;1
224042;-98333;54962;30718;1
208732;-98351;54005;30717;1
213859;-98393;54326;30714;1
223866;-98400;54951;30714;1
210646;-98417;54125;30712;2
205453;-98364;53800;30716;8
207413;-98321;53923;30718;1
197371;-98362;53295;30716;4
213363;-98432;54295;30712;8
221446;-98306;54800;30719;8
203630;-98325;53686;30718;2
225373;-98345;55045;30717;8
227099;-98323;55153;30718;2
210216;-98394;54098;30714;8
197184;-98338;53284;30717;8
218459;-98400;54613;30714;8
198344;-98359;53356;30716;2
197413;-98323;53298;30718;1
210787;-98323;54134;30718;8
221724;-98337;54817;30717;2
217925;-98404;54580;30713;2
198684;-98426;53377;30712;8
199339;-98423;53418;30712;4
204148;-98407;53719;30713;4
225085;-98355;55027;30716;2
215683;-98365;54440;30716;2
215601;-98343;54435;30717;4
211580;-98348;54183;30717;1
207647;-98431;53937;30712;2
200126;-98381;53467;30715;8
218064;-98404;54589;30713;1
220319;-98311;54729;30719;8
218336;-98378;54606;30715;2
219378;-98400;54671;30714;8
198278;-98315;53352;30719;1
205520;-98340;53805;30717;4
201597;-98363;53559;30716;1
229102;-98423;55278;30712;8
212089;-98391;54215;30714;2
211318;-98411;54167;30713;8
223609;-98327;54935;30718;4
206831;-98366;53886;30716;2
227160;-98405;55157;30713;1
220322;-98388;54730;30714;2
229084;-98338;55277;30717;1
205663;-98360;53813;30716;1
199128;-98336;53405;30718;4
219297;-98318;54666;30719;8
228145;-98322;55219;30718;1
198549;-98312;53369;30719;8
221924;-98382;54830;30715;8
226700;-98421;55128;30712;8
201365;-98412;53545;30713;1
219538;-98411;54681;30713;4
215213;-98329;54410;30718;1
208033;-98338;53962;30717;4
228686;-98416;55252;30713;1
215491;-98378;54428;30715;2
203874;-98310;53702;30719;1
203280;-98322;53665;30718;4
218304;-98399;54604;30714;8
225607;-98375;55060;30715;4
204592;-98424;53747;30712;4
202503;-98409;53616;30713;2
224815;-98346;55010;30717;4
198895;-98416;53390;30713;8
217599;-98394;54559;30714;8
228411;-98307;55235;30719;4
228274;-98338;55227;30717;4
220086;-98326;54715;30718;2
228750;-98362;55256;30716;2
211508;-98366;54179;30716;1
212679;-98354;54252;30716;8
210108;-98364;54091;30716;2
197530;-98369;53305;30715;1
213044;-98367;54275;30716;8
204585;-98412;53746;30713;8
216258;-98307;54476;30719;1
210709;-98401;54129;30713;4
206722;-98418;53880;30712;2
220033;-98397;54712;30714;8
225956;-98385;55082;30714;4
227093;-98371;55153;30715;2
200293;-98318;53478;30719;4
198455;-98367;53363;30716;4
217819;-98372;54573;30715;8
206325;-98389;53855;30714;4
208596;-98430;53997;30712;2
218694;-98340;54628;30717;1
200391;-98409;53484;30713;1
210663;-98322;54126;30718;1
198841;-98325;53387;30718;2
205327;-98324;53792;30718;2
226100;-98319;55091;30719;2
227729;-98393;55193;30714;2
219984;-98422;54709;30712;8
227930;-98340;55205;30717;1
201787;-98343;53571;30717;8
225684;-98362;55065;30716;1
203371;-98389;53670;30714;1
212760;-98375;54257;30715;1
214250;-98369;54350;30715;8
217896;-98391;54578;30714;4
226847;-98376;55137;30715;4
198862;-98311;53388;30719;4
220775;-98316;54758;30719;2
216909;-98353;54516;30716;8
224326;-98370;54980;30715;4
229067;-98333;55276;30718;1
225099;-98425;55028;30712;2
220521;-98331;54742;30718;2
218859;-98309;54638;30719;8
227987;-98429;55209;30712;1
203136;-98307;53656;30719;8
226721;-98350;55130;30717;1
199417;-98364;53423;30716;8
198954;-98346;53394;30717;8
198363;-98424;53357;30712;1
216380;-98396;54483;30714;2
204773;-98357;53758;30716;2
228131;-98393;55218;30714;4
208850;-98357;54013;30716;4
221721;-98365;54817;30716;1
205717;-98365;53817;30716;1
225231;-98315;55036;30719;8
209089;-98363;54028;30716;2
214378;-98362;54358;30716;8
214963;-98336;54395;30718;4
214167;-98384;54345;30715;2
217490;-98307;54553;30719;2
221856;-98404;54826;30713;2
213190;-98322;54284;30718;4
223319;-98424;54917;30712;8
214433;-98328;54362;30718;2
225401;-98405;55047;30713;4
228917;-98428;55267;30712;4
221991;-98334;54834;30718;8
197912;-98340;53329;30717;4
223037;-98327;54899;30718;8
218434;-98394;54612;30714;2
209114;-98314;54029;30719;8
214412;-98375;54360;30715;8
214111;-98377;54341;30715;4
200308;-98366;53479;30716;1
201613;-98350;53560;30717;2
223827;-98399;54949;30714;4
225676;-98342;55064;30717;4
200161;-98428;53470;30712;4
199233;-98359;53412;30716;4
207072;-98343;53902;30717;4
214026;-98335;54336;30718;8
224108;-98371;54966;30715;1
219962;-98427;54707;30712;4
200283;-98368;53477;30716;1
198110;-98364;53341;30716;8
216608;-98428;54498;30712;1
226591;-98421;55121;30712;4
208053;-98430;53963;30712;2
205013;-98372;53773;30715;4
214959;-98400;54394;30714;1
201815;-98376;53573;30715;4
220864;-98425;54764;30712;4
225905;-98334;55079;30718;8
